Title,Link
"ROLL CALL name, age, state and any other info to share",http://www.healingwell.com/community/default.aspx?f=14&m=110474
"new to forum, diagnostic mammo & ultrasound found large lumps, Part 2",http://www.healingwell.com/community/default.aspx?f=14&m=4076202
Resources to help painful hematoma 9 mos after sterotactic biopsy,http://www.healingwell.com/community/default.aspx?f=14&m=1299443
New here. Call back and ultrasound from 3D Mammo,http://www.healingwell.com/community/default.aspx?f=14&m=4111827
Thoughts on my Ultrasound?,http://www.healingwell.com/community/default.aspx?f=14&m=4111125
Still worried,http://www.healingwell.com/community/default.aspx?f=14&m=4106021
Called back after biopsy - invasive mamory carcinoma,http://www.healingwell.com/community/default.aspx?f=14&m=4083195
Called back after mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=4082459
Nipple discharge with expression,http://www.healingwell.com/community/default.aspx?f=14&m=4081840
Bad Mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=4075784
"new to forum, diagnostic mammo and ultrasound found large lumps",http://www.healingwell.com/community/default.aspx?f=14&m=3681365
Forum Redesign,http://www.healingwell.com/community/default.aspx?f=14&m=4073281
Clear discharge,http://www.healingwell.com/community/default.aspx?f=14&m=4069484
"Breast lump, painless, 2- 2.5 inch from childhood.",http://www.healingwell.com/community/default.aspx?f=14&m=4066135
Mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=4065674
How long after all clear should you be concerned?,http://www.healingwell.com/community/default.aspx?f=14&m=4046165
Post-menopausal cysts,http://www.healingwell.com/community/default.aspx?f=14&m=2382137
active breast cancer forum,http://www.healingwell.com/community/default.aspx?f=14&m=4031930
Need breast needle biopsy doctor,http://www.healingwell.com/community/default.aspx?f=14&m=4010423
Cancer runs in family. Should I get genetic testing?,http://www.healingwell.com/community/default.aspx?f=14&m=4019913
Architectural distortion,http://www.healingwell.com/community/default.aspx?f=14&m=4022485
Driving while undergoing Chemo,http://www.healingwell.com/community/default.aspx?f=14&m=4015908
Looking for HER 2 + -ER-PR stage 3a Long Term Success Stories--Any out there??,http://www.healingwell.com/community/default.aspx?f=14&m=3614635
"Asymmetry, now worried",http://www.healingwell.com/community/default.aspx?f=14&m=4002456
Cyst with pain in breast and runs up my shoulder and arm!!help!,http://www.healingwell.com/community/default.aspx?f=14&m=3004726
Fibrocystic breast pain - PLEASE DESCRIBE,http://www.healingwell.com/community/default.aspx?f=14&m=3991792
"ROLL CALL name, age, state and any other info to share",http://www.healingwell.com/community/default.aspx?f=14&m=110474
Cysts and stinging pain,http://www.healingwell.com/community/default.aspx?f=14&m=3990799
New lump over the breast,http://www.healingwell.com/community/default.aspx?f=14&m=3988426
Mom age 76 breast cancer. I just found out! Living a nightmare,http://www.healingwell.com/community/default.aspx?f=14&m=3944237
Husband breast lump,http://www.healingwell.com/community/default.aspx?f=14&m=3976649
Should I be concerned?,http://www.healingwell.com/community/default.aspx?f=14&m=3775646
itchy breast with burning sensation,http://www.healingwell.com/community/default.aspx?f=14&m=3808109
Abnormal mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=3950477
14 Day Wait for Lipoma Biopsy and Counting,http://www.healingwell.com/community/default.aspx?f=14&m=3943032
a lump below my nipple,http://www.healingwell.com/community/default.aspx?f=14&m=3942322
Burning and Dimpling Breast,http://www.healingwell.com/community/default.aspx?f=14&m=3937127
Mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=3925880
New here & Newly Diagnosed,http://www.healingwell.com/community/default.aspx?f=14&m=3938610
"Not diagnosed, pain, strange symptoms and possible lump",http://www.healingwell.com/community/default.aspx?f=14&m=3924504
Just diagnosed,http://www.healingwell.com/community/default.aspx?f=14&m=3819904
Breast Biopsy,http://www.healingwell.com/community/default.aspx?f=14&m=3911831
Radial Scar,http://www.healingwell.com/community/default.aspx?f=14&m=3912472
Just found out my Mom has breast and bone cancer,http://www.healingwell.com/community/default.aspx?f=14&m=3910289
"Burning,itching pain along right breat",http://www.healingwell.com/community/default.aspx?f=14&m=3905961
survey (approved by Admin),http://www.healingwell.com/community/default.aspx?f=14&m=3897230
Solid mass not cyst?!,http://www.healingwell.com/community/default.aspx?f=14&m=3895336
SECOND call back...after 3D and then Ultrasound MAMMOGRAM,http://www.healingwell.com/community/default.aspx?f=14&m=3885826
Nashville area - Mother just diagnosed - need surgeon recs,http://www.healingwell.com/community/default.aspx?f=14&m=3883470
Right nipple issue and cluster microcalcifications in the left breast. Drowning...,http://www.healingwell.com/community/default.aspx?f=14&m=3883596
Montgomery gland discharge!,http://www.healingwell.com/community/default.aspx?f=14&m=3880855
Port Erosion,http://www.healingwell.com/community/default.aspx?f=14&m=3879179
"ROLL CALL name, age, state and any other info to share",http://www.healingwell.com/community/default.aspx?f=14&m=110474
Brown blood,http://www.healingwell.com/community/default.aspx?f=14&m=3871600
breast cyst,http://www.healingwell.com/community/default.aspx?f=14&m=2286123
Lump for 3 years - starting to get worried help!,http://www.healingwell.com/community/default.aspx?f=14&m=3867329
Biopsy after sonogram,http://www.healingwell.com/community/default.aspx?f=14&m=3844440
Breast Injury,http://www.healingwell.com/community/default.aspx?f=14&m=3864245
Dense breast tissue - but really painful,http://www.healingwell.com/community/default.aspx?f=14&m=3816517
"(No Subject)",http://www.healingwell.com/community/default.aspx?f=14&m=3843883
NYC oncologist recommendation,http://www.healingwell.com/community/default.aspx?f=14&m=3841643
Nipple sharp pain,http://www.healingwell.com/community/default.aspx?f=14&m=3841203
Redness and Tenderness,http://www.healingwell.com/community/default.aspx?f=14&m=3837763
Can anyone tell me about their experience w/ nipple biopsy?,http://www.healingwell.com/community/default.aspx?f=14&m=3829331
Breast lumps,http://www.healingwell.com/community/default.aspx?f=14&m=3516020
Post mastectomy pain syndrome,http://www.healingwell.com/community/default.aspx?f=14&m=1649831
Left Breast Pain under rib - going on for years!,http://www.healingwell.com/community/default.aspx?f=14&m=3828851
Extremely sharp pain and burning in left breast only with drastic movement,http://www.healingwell.com/community/default.aspx?f=14&m=3809105
terrible 12 out of 10 pains almost constantly in my breasts,http://www.healingwell.com/community/default.aspx?f=14&m=3818242
Burning sensation and pain in left breast,http://www.healingwell.com/community/default.aspx?f=14&m=2206678
Fibroadenoma in 50+ year old,http://www.healingwell.com/community/default.aspx?f=14&m=2137802
Metatises,http://www.healingwell.com/community/default.aspx?f=14&m=3816823
mammogram call back,http://www.healingwell.com/community/default.aspx?f=14&m=3813520
New here- My mother in law has breast cancer,http://www.healingwell.com/community/default.aspx?f=14&m=3807011
A friends wife,http://www.healingwell.com/community/default.aspx?f=14&m=3799804
percentage of malignancy in clustered microcalcifications in one breast only,http://www.healingwell.com/community/default.aspx?f=14&m=2398043
Breast Pain,http://www.healingwell.com/community/default.aspx?f=14&m=3796141
Don't know where else to post.,http://www.healingwell.com/community/default.aspx?f=14&m=3790554
"ROLL CALL name, age, state and any other info to share",http://www.healingwell.com/community/default.aspx?f=14&m=110474
Meta plastic breast cancer,http://www.healingwell.com/community/default.aspx?f=14&m=3784813
6mm breast nodule,http://www.healingwell.com/community/default.aspx?f=14&m=2133459
Staph infection in left breast which has been diagnosed as cancer,http://www.healingwell.com/community/default.aspx?f=14&m=3775820
Burning sensation around breasts,http://www.healingwell.com/community/default.aspx?f=14&m=3773944
HW/PC Book Club Feb-2017: “Being Mortal”,http://www.healingwell.com/community/default.aspx?f=14&m=3768685
Severe breast pain,http://www.healingwell.com/community/default.aspx?f=14&m=3766541
Hormone Therapy??,http://www.healingwell.com/community/default.aspx?f=14&m=3753118
double mastectomy nipple sparing,http://www.healingwell.com/community/default.aspx?f=14&m=3441042
Wife just diagnosed DCIS stage 0 level 1,http://www.healingwell.com/community/default.aspx?f=14&m=3745057
Help! Got stung by a bee in arm and fear lymphedema,http://www.healingwell.com/community/default.aspx?f=14&m=868580
pain and swelling,http://www.healingwell.com/community/default.aspx?f=14&m=3745962
New diagnosed,http://www.healingwell.com/community/default.aspx?f=14&m=3744339
Thickening around breast,http://www.healingwell.com/community/default.aspx?f=14&m=3739004
Strange symptoms in left breast,http://www.healingwell.com/community/default.aspx?f=14&m=3735115
focal asymmetry,http://www.healingwell.com/community/default.aspx?f=14&m=3724152
Breast Cancer With ONLY brain metastases - advice.,http://www.healingwell.com/community/default.aspx?f=14&m=3591582
sharply circumscribed? what does that mean?>,http://www.healingwell.com/community/default.aspx?f=14&m=3722986
Rash on breast? Please help!,http://www.healingwell.com/community/default.aspx?f=14&m=3722983
"3rd image taken during screening, abnormal?",http://www.healingwell.com/community/default.aspx?f=14&m=3722420
Second Call back On Mammogram and scared,http://www.healingwell.com/community/default.aspx?f=14&m=349559
call back from mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=3714590
Should I be concerned? Please see addendum at the bottom of the report,http://www.healingwell.com/community/default.aspx?f=14&m=3715539
What are the odds ?,http://www.healingwell.com/community/default.aspx?f=14&m=3706657
Hi all! How to be a good caregiver?,http://www.healingwell.com/community/default.aspx?f=14&m=3695501
"Wife diagnosed with BC...im scared, shes scared.",http://www.healingwell.com/community/default.aspx?f=14&m=3599091
"ROLL CALL name, age, state and any other info to share",http://www.healingwell.com/community/default.aspx?f=14&m=110474
How to make my doctor consider other options ideas ?,http://www.healingwell.com/community/default.aspx?f=14&m=3574564
"Hi, I'm new",http://www.healingwell.com/community/default.aspx?f=14&m=3682355
burning breast pain especially behind my areola and nipple,http://www.healingwell.com/community/default.aspx?f=14&m=3673180
Breast changes,http://www.healingwell.com/community/default.aspx?f=14&m=3666993
biopsy after follow up mammogram and ultrasound,http://www.healingwell.com/community/default.aspx?f=14&m=3665103
"New to this thread, Benign Lumpectomy Left Breast in 2011",http://www.healingwell.com/community/default.aspx?f=14&m=3646923
What does this mean,http://www.healingwell.com/community/default.aspx?f=14&m=3635072
Scared,http://www.healingwell.com/community/default.aspx?f=14&m=3513393
Very bad burn on breast from the inside out after stero core needle biopsy,http://www.healingwell.com/community/default.aspx?f=14&m=3618565
what causes them to harden?,http://www.healingwell.com/community/default.aspx?f=14&m=3590032
"femara side effects - loss of sex drive, vaginal dryiness and sensitivity et al",http://www.healingwell.com/community/default.aspx?f=14&m=2082597
Breast marker clip,http://www.healingwell.com/community/default.aspx?f=14&m=3600281
Fibrocystic changes,http://www.healingwell.com/community/default.aspx?f=14&m=3601616
Call back for biopsy 3 weeks away.. kinda freaking out!,http://www.healingwell.com/community/default.aspx?f=14&m=3572012
Left Breast nerve pain and swelling and size change,http://www.healingwell.com/community/default.aspx?f=14&m=3593833
shadow and some dense area all on my right breast,http://www.healingwell.com/community/default.aspx?f=14&m=3592190
please help me I am scared to death!!! i dont know what to do!,http://www.healingwell.com/community/default.aspx?f=14&m=3462600
Male breast cancer questions,http://www.healingwell.com/community/default.aspx?f=14&m=3573252
Microcalcifications and breast cancer,http://www.healingwell.com/community/default.aspx?f=14&m=3575275
getting fed up,http://www.healingwell.com/community/default.aspx?f=14&m=3575853
Small cluster of microcalcification,http://www.healingwell.com/community/default.aspx?f=14&m=1929347
Calcifications,http://www.healingwell.com/community/default.aspx?f=14&m=3575000
Second call back for mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=3562327
Participants needed for a study concerning the emotional aspects of cancer care,http://www.healingwell.com/community/default.aspx?f=14&m=3561262
Anyone have experience with PASH/Stromal Fibrosis,http://www.healingwell.com/community/default.aspx?f=14&m=3559192
"ROLL CALL name, age, state and any other info to share",http://www.healingwell.com/community/default.aspx?f=14&m=110474
5 months pregnant and ultrasound found clusters of masses in breast going for biopsy SO SCARED.,http://www.healingwell.com/community/default.aspx?f=14&m=3550568
I don't know what to do!,http://www.healingwell.com/community/default.aspx?f=14&m=3460847
my left breast has been experiencing a burning sensation,http://www.healingwell.com/community/default.aspx?f=14&m=3536288
After Radiation,http://www.healingwell.com/community/default.aspx?f=14&m=3490372
PlS I need some support and resassurance before my biopsy today,http://www.healingwell.com/community/default.aspx?f=14&m=3474217
"Painful underarm, swollen lymph node, high wbc",http://www.healingwell.com/community/default.aspx?f=14&m=3538048
Recent 3D mammogram and breast biopsies in both breasts,http://www.healingwell.com/community/default.aspx?f=14&m=3538351
Possibility of Breast Cancer?! Misdiagnosed? Staph ?,http://www.healingwell.com/community/default.aspx?f=14&m=3537827
Second Biopsy recommended. Is is common? Help!,http://www.healingwell.com/community/default.aspx?f=14&m=3535069
Biopsy scheduled,http://www.healingwell.com/community/default.aspx?f=14&m=3534595
Biopsy Result this Saturday,http://www.healingwell.com/community/default.aspx?f=14&m=3501347
Breast reconstruction surgery,http://www.healingwell.com/community/default.aspx?f=14&m=3511422
Has anyone experienced this after breast biopsy?,http://www.healingwell.com/community/default.aspx?f=14&m=3511262
"Triple negative DCIS high grade AND hematoma from biopsy, no clip placed",http://www.healingwell.com/community/default.aspx?f=14&m=3509438
Thanking the Katies of the world.,http://www.healingwell.com/community/default.aspx?f=14&m=466128
Sad News!,http://www.healingwell.com/community/default.aspx?f=14&m=421986
Breast cysts,http://www.healingwell.com/community/default.aspx?f=14&m=3498934
"(No Subject)",http://www.healingwell.com/community/default.aspx?f=14&m=3491304
Left breast biopsy,http://www.healingwell.com/community/default.aspx?f=14&m=3488984
Call back after first mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=3488779
Friend with Breast cancer,http://www.healingwell.com/community/default.aspx?f=14&m=3488078
mammorgram call back - first mammogram at 43,http://www.healingwell.com/community/default.aspx?f=14&m=3371916
Painless lump. Doctor doesn't know what it is.,http://www.healingwell.com/community/default.aspx?f=14&m=3469142
"(No Subject)",http://www.healingwell.com/community/default.aspx?f=14&m=3479329
Hello,http://www.healingwell.com/community/default.aspx?f=14&m=3479771
"ROLL CALL name, age, state and any other info to share",http://www.healingwell.com/community/default.aspx?f=14&m=110474
Online survey on online health community use,http://www.healingwell.com/community/default.aspx?f=14&m=3479926
Multiple/excessive films for no reason,http://www.healingwell.com/community/default.aspx?f=14&m=3478016
"? about my mammogram report.",http://www.healingwell.com/community/default.aspx?f=14&m=3473771
Is this more than a cyst?,http://www.healingwell.com/community/default.aspx?f=14&m=3473335
Worried about seroma,http://www.healingwell.com/community/default.aspx?f=14&m=3470079
"""irregular finding"" on mamogram",http://www.healingwell.com/community/default.aspx?f=14&m=3467260
"Stressed about results , wonder if I should get second opinion",http://www.healingwell.com/community/default.aspx?f=14&m=3466543
Is it true fibroadenomas increase your breast caner risk?,http://www.healingwell.com/community/default.aspx?f=14&m=3465866
"Very anxious about breast cancer, please help!",http://www.healingwell.com/community/default.aspx?f=14&m=3392857
Got my mri results,http://www.healingwell.com/community/default.aspx?f=14&m=3459524
"Breast Cyst, Lymph Node Infection - possibility of being related?",http://www.healingwell.com/community/default.aspx?f=14&m=3459017
Digital mamma call back - freaking out,http://www.healingwell.com/community/default.aspx?f=14&m=3453811
Residual lump after FNA,http://www.healingwell.com/community/default.aspx?f=14&m=3455233
Microcalcifications found,http://www.healingwell.com/community/default.aspx?f=14&m=977570
"Metastatic vs New unrelated cancer.,any reply welcome n needed",http://www.healingwell.com/community/default.aspx?f=14&m=3427705
Mammogram & Ultrasound,http://www.healingwell.com/community/default.aspx?f=14&m=3434130
Breast reduction and micro calcifications,http://www.healingwell.com/community/default.aspx?f=14&m=3424174
Thank you -- very nervous,http://www.healingwell.com/community/default.aspx?f=14&m=3417929
Micro-calcification found after 2nd mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=3406201
Anxiety Over the Top,http://www.healingwell.com/community/default.aspx?f=14&m=3406544
Anyone have a breast reduction with their lumpectomy?,http://www.healingwell.com/community/default.aspx?f=14&m=1706913
Breast Cancer?,http://www.healingwell.com/community/default.aspx?f=14&m=3395466
hard lump in left breast,http://www.healingwell.com/community/default.aspx?f=14&m=2312243
Radial Scar,http://www.healingwell.com/community/default.aspx?f=14&m=3385604
Radial scar.... anyone else have?,http://www.healingwell.com/community/default.aspx?f=14&m=2005529
"ROLL CALL name, age, state and any other info to share",http://www.healingwell.com/community/default.aspx?f=14&m=110474
melanoma on heel,http://www.healingwell.com/community/default.aspx?f=14&m=3385220
lump,http://www.healingwell.com/community/default.aspx?f=14&m=3383181
I need to come back for another mammogram,http://www.healingwell.com/community/default.aspx?f=14&m=3383597
regard. mammogram call back,http://www.healingwell.com/community/default.aspx?f=14&m=3375255
Can this lead to cancer?,http://www.healingwell.com/community/default.aspx?f=14&m=3374669
"(No Subject)",http://www.healingwell.com/community/default.aspx?f=14&m=3373372
warm sensation in breat,http://www.healingwell.com/community/default.aspx?f=14&m=3323147
cancer blues,http://www.healingwell.com/community/default.aspx?f=14&m=3369881
Contrast,http://www.healingwell.com/community/default.aspx?f=14&m=3359195
Breast Cancer Cells and Fluid in Lungs,http://www.healingwell.com/community/default.aspx?f=14&m=3176149
call back after mammo,http://www.healingwell.com/community/default.aspx?f=14&m=3364125
new member to this forum with wifes diagnosis of BC,http://www.healingwell.com/community/default.aspx?f=14&m=3366375
diagnostic mammogram call back....What to do,http://www.healingwell.com/community/default.aspx?f=14&m=3358891
is BC at 26 really possible? Terrified!,http://www.healingwell.com/community/default.aspx?f=14&m=3359370
