Title,Link
5mm Oval Nodule of Both Breast,https://www.healthboards.com/boards/cancer-breast/664501-5mm-oval-nodule-both-breast.html
"Did you experience flaky skin on the nipple, other physical symptoms?",https://www.healthboards.com/boards/cancer-breast/713813-did-you-experience-flaky-skin-nipple-other-physical-symptoms.html
lump under both armpits,https://www.healthboards.com/boards/cancer-breast/136055-lump-under-both-armpits.html
"Metoplastic Carsonoma cancer, i really need help!!!",https://www.healthboards.com/boards/cancer-breast/217013-metoplastic-carsonoma-cancer-i-really-need-help.html
Breast Fibroids after menopause??,https://www.healthboards.com/boards/cancer-breast/909270-breast-fibroids-after-menopause.html
update! on Repeat mammogram & ultrasound,https://www.healthboards.com/boards/cancer-breast/713955-update-repeat-mammogram-ultrasound.html
Breast pain and discharge,https://www.healthboards.com/boards/cancer-breast/361135-breast-pain-discharge.html
abnormal breast discharge...?,https://www.healthboards.com/boards/cancer-breast/265694-abnormal-breast-discharge.html
Radiation After DCIS - What Side Effects?,https://www.healthboards.com/boards/cancer-breast/766368-radiation-after-dcis-what-side-effects.html
Male Breast Lump - 35 year old,https://www.healthboards.com/boards/cancer-breast/371940-male-breast-lump-35-year-old.html
Ambiguous Mammogram Results 1 2,https://www.healthboards.com/boards/cancer-breast/176393-ambiguous-mammogram-results.html
Question Regarding Cysts,https://www.healthboards.com/boards/cancer-breast/371595-question-regarding-cysts.html
Black Vomiting,https://www.healthboards.com/boards/cancer-breast/974876-black-vomiting.html
Suspicious Finding,https://www.healthboards.com/boards/cancer-breast/596937-suspicious-finding.html
5 millimeter density?,https://www.healthboards.com/boards/cancer-breast/985337-5-millimeter-density.html
Lump in armpit,https://www.healthboards.com/boards/cancer-breast/24689-lump-armpit.html
breast sonogram,https://www.healthboards.com/boards/cancer-breast/679197-breast-sonogram.html
Fibroadenosis and diffuse ductal promonance,https://www.healthboards.com/boards/cancer-breast/710229-fibroadenosis-diffuse-ductal-promonance.html
how long does it take to get biopsy results,https://www.healthboards.com/boards/cancer-breast/675627-how-long-does-take-get-biopsy-results.html
"4 years of intermittent, sharp shooting pains in breast",https://www.healthboards.com/boards/cancer-breast/607005-4-years-intermittent-sharp-shooting-pains-breast.html
breast lump- ultrasound scheduled 2 weeks. Should I wait?,https://www.healthboards.com/boards/cancer-breast/1020863-breast-lump-ultrasound-scheduled-2-weeks-should-i-wait.html
Atypical Ductal Hyperplasia 1 2 3 4,https://www.healthboards.com/boards/cancer-breast/738568-atypical-ductal-hyperplasia.html
"Breast Lump Found...Might Need Mammogram, have Questions",https://www.healthboards.com/boards/cancer-breast/519849-breast-lump-found-might-need-mammogram-have-questions.html
Ultrasound and lump,https://www.healthboards.com/boards/cancer-breast/173323-ultrasound-lump.html
Needle Localization/biopsy 1 2 3,https://www.healthboards.com/boards/cancer-breast/452021-needle-localization-biopsy.html
Moving Fast abnormal mammo,https://www.healthboards.com/boards/cancer-breast/975416-moving-fast-abnormal-mammo.html
"Scared, waiting for results",https://www.healthboards.com/boards/cancer-breast/300646-scared-waiting-results.html
"Please Help, I'm In Pain!!",https://www.healthboards.com/boards/cancer-breast/209397-please-help-im-pain.html
Breast concerns(new to me),https://www.healthboards.com/boards/cancer-breast/937166-breast-concerns-new-me.html
liquid out of breast a aign of breast cancer???,https://www.healthboards.com/boards/cancer-breast/256796-liquid-out-breast-aign-breast-cancer.html
Weird lump in chest,https://www.healthboards.com/boards/cancer-breast/742766-weird-lump-chest.html
Breast biopsy,https://www.healthboards.com/boards/cancer-breast/1043265-breast-biopsy.html
conization,https://www.healthboards.com/boards/cancer-breast/24959-conization.html
"NIPPLE QUESTION, very worried....",https://www.healthboards.com/boards/cancer-breast/239469-nipple-question-very-worried.html
mastectomy survivors only please,https://www.healthboards.com/boards/cancer-breast/24943-mastectomy-survivors-only-please.html
Taxol side effects,https://www.healthboards.com/boards/cancer-breast/24547-taxol-side-effects.html
Taking Arimidex?,https://www.healthboards.com/boards/cancer-breast/988630-taking-arimidex.html
Biopsy revealed more microcalcs,https://www.healthboards.com/boards/cancer-breast/986574-biopsy-revealed-more-microcalcs.html
