Title,Link
Kadcyla and work,https://www.inspire.com/groups/advanced-breast-cancer/discussion/kadcyla-and-work/
Cutting edge treatments and clinical trials for Stage IV Breast Cancer info,https://www.inspire.com/groups/advanced-breast-cancer/discussion/cutting-edge-treatments-and-clinical-trials-for-stage-iv-breast-cancer-info/
Written info on one week on one week off with Xeloda,https://www.inspire.com/groups/advanced-breast-cancer/discussion/written-info-on-one-week-on-one-week-off-with-xeloda/
Dexamethasone and chemo,https://www.inspire.com/groups/advanced-breast-cancer/discussion/dexamethasone-and-chemo/
Halaven experiences,https://www.inspire.com/groups/advanced-breast-cancer/discussion/halaven-experiences/
Anyone experience progression in breast,https://www.inspire.com/groups/advanced-breast-cancer/discussion/anyone-experience-progression-in-breast/
Lobular breast cancer patients-- resource and survey,https://www.inspire.com/groups/advanced-breast-cancer/discussion/lobular-breast-cancer-patients-resource-and-survey/
Experts by Experience 2018: Patient stories that teach,https://www.inspire.com/m/Brian/journal/experts-by-experience-2018-patient-stories-that-teach/?group_id=200170
Electrochemotherapy,https://www.inspire.com/groups/advanced-breast-cancer/discussion/electrochemotherapy/
How do you make medical decisions?,https://www.inspire.com/m/Brian/journal/how-do-you-make-medical-decisions/?group_id=200170
Can you go to Ibrance after Xeloda,https://www.inspire.com/groups/advanced-breast-cancer/discussion/can-you-go-to-ibrance-after-xeloda/
I have 3 abscess in my mouth and Doctors want me to start xeloda?,https://www.inspire.com/groups/advanced-breast-cancer/discussion/i-have-3-abscess-in-my-mouth-and-doctors-want-me-to-start-xeloda/
Dealing with a Parent with Dementia and Stage IV Breast Cancer In Child,https://www.inspire.com/groups/advanced-breast-cancer/discussion/dealing-with-a-parent-with-dementia-and-stage-iv-breast-cancer-in-child/
Met Breast cancer to the bones,https://www.inspire.com/groups/advanced-breast-cancer/discussion/met-breast-cancer-to-the-bones/
"Men-only 'Speaking Freely' Virtual Group - TONIGHT, 5/16 @ 8pm EDT",https://www.inspire.com/m/ardeee/journal/men-only-speaking-freely-virtual-group-tonight-5-16-8pm-edt/?group_id=200170
Depression and breast cancer,https://www.inspire.com/groups/advanced-breast-cancer/discussion/depression-and-breast-cancer/
Switching to Verzenio after Ibrance,https://www.inspire.com/groups/advanced-breast-cancer/discussion/switching-to-verzenio-after-ibrance/
"New Approved Drug for HR+, HER2- MBC with PIK3 Mutation!",https://www.inspire.com/groups/advanced-breast-cancer/discussion/new-approved-drug-for-hr-her2-mbc-with-pik3-mutation/
Explant Surgery?,https://www.inspire.com/groups/advanced-breast-cancer/discussion/explant-surgery/
Depressed...tnbc,https://www.inspire.com/groups/advanced-breast-cancer/discussion/depressed-tnbc/
"Adv. Cancer Caregivers Virtual Support Group - Tue, May 21 at 8 pm EDT",https://www.inspire.com/m/ardeee/journal/adv-cancer-caregivers-virtual-support-group-tue-may-21-at-8-pm-edt/?group_id=200170
No clinical trial,https://www.inspire.com/groups/advanced-breast-cancer/discussion/no-clinical-trial/
Were you regularly in Lower Manhattan post-9/11 .... ? $$$,https://www.inspire.com/m/ardeee/journal/were-you-regularly-in-lower-manhattan-post-9-11/?group_id=200170
Question for MBC 5+ years,https://www.inspire.com/groups/advanced-breast-cancer/discussion/question-for-mbc-5-years/
Hopefully good news for tnbc,https://www.inspire.com/groups/advanced-breast-cancer/discussion/hopefully-good-news-for-tnbc/
Progression while on Kisqali(ribociclib) +letrozole??,https://www.inspire.com/groups/advanced-breast-cancer/discussion/progression-while-on-kisqali-ribociclib-letrozole/
Turn for the worse,https://www.inspire.com/groups/advanced-breast-cancer/discussion/turn-for-the-worse-8q501s/
Depression..,https://www.inspire.com/groups/advanced-breast-cancer/discussion/depression-f3w9l6/
I am on Ibrance and Letrozole and wondered if the treatment can reduce my b,https://www.inspire.com/groups/advanced-breast-cancer/discussion/i-am-on-ibrance-and-letrozole-and-wondered-if-the-treatment-can-reduce-my-b/
