Title,Link
"",https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/160359/thread
wheezing and inhalers,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/90539/wheezing-and-inhalers
Tamoxifen - do different brands have different side effects?,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/29708/tamoxifen---do-different-brands-have-different-side-effects
Fed up,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/65866/fed-up
Am I imagining things?,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/83903/am-i-imagining-things
Radial scars,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/144254/radial-scars
What are you supposed to do? :(,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/118928/what-are-you-supposed-to-do
Got to have them both removed....,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/94470/got-to-have-them-both-removed
Hooray drain finally removed,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/136522/hooray-drain-finally-removed
breast concern,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/134956/breast-concern
At last,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/71133/at-last
Something else now,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/97118/something-else-now
First FEC chemo,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/56558/first-fec-chemo
Don't know what to think?,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/160167/don-t-know-what-to-think
Mastectomy bras for big boob,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/122620/mastectomy-bras-for-big-boob
FEC and back pain,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/98648/fec-and-back-pain
BCN,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/90479/bcn
breast shrinkage after lumpectomy,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/10994/breast-shrinkage-after-lumpectomy
"5 months post chemo - terrible, debillitating joint pain. Is it normal...",https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/115816/5-months-post-chemo---terrible-debillitating-joint-pain-is-it-normal
".",https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/54804/thread
Diep,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/174718/diep
Advise for a friend of a breast cancer sufferer,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/149505/advise-for-a-friend-of-a-breast-cancer-sufferer
Decission time!!!,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/147733/decission-time
Sleepless Nights,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/98445/sleepless-nights
New to the club,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/155262/new-to-the-club
Diet,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/10958/diet
Lymphodeama,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/70236/lymphodeama
Radio therapy,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/74079/radio-therapy
radio therapy,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/32074/radio-therapy
Finding it hard to trust my consultant,https://community.macmillan.org.uk/cancer_types/breast-cancer/f/breast-cancer-forum/110030/finding-it-hard-to-trust-my-consultant
