Title,Link
"",https://patient.info
Tamoxifen and Singing,https://patient.info/forums/discuss/tamoxifen-and-singing-499171
Can I take Garcinia Cambogia with Tamoxifen?,https://patient.info/forums/discuss/can-i-take-garcinia-cambogia-with-tamoxifen--659550
breast cancer?,https://patient.info/forums/discuss/breast-cancer--647990
I'm 19 n I found a lump in my breast above my nipple.What are the chances that it is cancerous?,https://patient.info/forums/discuss/i-m-19-n-i-found-a-lump-in-my-breast-above-my-nipple-what-are-the-chances-that-it-is-cancerous--524226
Knot in the middle not on breast,https://patient.info/forums/discuss/knot-in-the-middle-not-on-breast-657455
I like Arimidex,https://patient.info/forums/discuss/i-like-arimidex-14992
DES Daughters and breast cancer/ & disorders,https://patient.info/forums/discuss/des-daughters-and-breast-cancer-disorders-686159
Just been told yesterday I have a breast cancer.....my world is crashing and I need some advice plea,https://patient.info/forums/discuss/just-been-told-yesterday-i-have-a-breast-cancer-my-world-is-crashing-and-i-need-some-advice-plea-479123
Lumps near breast and in armpit,https://patient.info/forums/discuss/lumps-near-breast-and-in-armpit-682084
I'm scard I have breast cancer,https://patient.info/forums/discuss/i-m-scard-i-have-breast-cancer-546435
Is there anyone out there seeking nature's path as an alternative to or along with conventional medicine?,https://patient.info/forums/discuss/is-there-anyone-out-there-seeking-nature-s-path-as-an-alternative-to-or-along-with-conventional-medicine--41719
Breast Reconstruction after Mastectomy-Suggestions,https://patient.info/forums/discuss/breast-reconstruction-after-mastectomy-suggestions-511484
Breast Question,https://patient.info/forums/discuss/breast-question-678875
8 weeks pregnant breast lump,https://patient.info/forums/discuss/8-weeks-pregnant-breast-lump-684915
Worried and Need Info Please,https://patient.info/forums/discuss/worried-and-need-info-please-520304
Breast Cancer Awareness Feature | w3ibrahim,https://patient.info/forums/discuss/breast-cancer-awareness-feature-w3ibrahim-697638
Really scared just need to talk,https://patient.info/forums/discuss/really-scared-just-need-to-talk-500354
Big pouch under armpit post-mastectomy?,https://patient.info/forums/discuss/big-pouch-under-armpit-post-mastectomy--274080
A Letrozole side effect - excessive stomach gas.,https://patient.info/forums/discuss/a-letrozole-side-effect-excessive-stomach-gas--414324
Mammogram Recall Screening and biopsy,https://patient.info/forums/discuss/mammogram-recall-screening-and-biopsy-372692
Triple negative stage 2 breast cancer,https://patient.info/forums/discuss/triple-negative-stage-2-breast-cancer-629724
"Mother of two kids suffering from breast cancer, please help to claim!",https://patient.info/forums/discuss/mother-of-two-kids-suffering-from-breast-cancer-please-help-to-claim--643979
Does this sound like breast cancer?,https://patient.info/forums/discuss/does-this-sound-like-breast-cancer--678099
Zoladex,https://patient.info/forums/discuss/zoladex-649652
Just diagnosed with dcis-- Ductal carcinoma insitu,https://patient.info/forums/discuss/just-diagnosed-with-dcis-ductal-carcinoma-insitu-678913
Latest update,https://patient.info/forums/discuss/latest-update-528791
Waiting for results for breast cancer.,https://patient.info/forums/discuss/waiting-for-results-for-breast-cancer--482730
im really scared and no one to talk to,https://patient.info/forums/discuss/im-really-scared-and-no-one-to-talk-to-549332
21 scared of breast cancer?,https://patient.info/forums/discuss/21-scared-of-breast-cancer--690712
"?",https://patient.info/forums/discuss/--696208
Tamoxifen and joint pain,https://patient.info/forums/discuss/tamoxifen-and-joint-pain-518361
My test results,https://patient.info/forums/discuss/my-test-results-637810
Help,https://patient.info/forums/discuss/help-521933
Post mastectomy options,https://patient.info/forums/discuss/post-mastectomy-options-634403
how do you know the change is a lump to concern you?,https://patient.info/forums/discuss/how-do-you-know-the-change-is-a-lump-to-concern-you--605917
mammogram recall,https://patient.info/forums/discuss/mammogram-recall-362367
breast pain and burning,https://patient.info/forums/discuss/breast-pain-and-burning-537647
"Just had mastectomy, what next?",https://patient.info/forums/discuss/just-had-mastectomy-what-next--489558
Breast Pimple or Cancer,https://patient.info/forums/discuss/breast-pimple-or-cancer-678551
having problems with cough and back pain plus weight loss since i started taking tamoxifen Posted 30,https://patient.info/forums/discuss/having-problems-with-cough-and-back-pain-plus-weight-loss-since-i-started-taking-tamoxifen-posted-30-335661
Itchy rash on both breasts,https://patient.info/forums/discuss/itchy-rash-on-both-breasts-642114
Fibromendena breast lump,https://patient.info/forums/discuss/fibromendena-breast-lump-545221
Mammogram recall and breast dimpling,https://patient.info/forums/discuss/mammogram-recall-and-breast-dimpling-535104
genetic gene - breast cancer worries,https://patient.info/forums/discuss/genetic-gene-breast-cancer-worries-17278
Small lump in left breast.,https://patient.info/forums/discuss/small-lump-in-left-breast--688158
Breast Ultra sound.,https://patient.info/forums/discuss/breast-ultra-sound--643674
Intravenous antibiotics and liver damage,https://patient.info/forums/discuss/intravenous-antibiotics-and-liver-damage-699992
How long does zoladex take to wear off,https://patient.info/forums/discuss/how-long-does-zoladex-take-to-wear-off-492335
"Left breast pain accompanied by sharp pains radiating from armpit, to extended arm.",https://patient.info/forums/discuss/left-breast-pain-accompanied-by-sharp-pains-radiating-from-armpit-to-extended-arm--697576
Armpit pain and lump in breast,https://patient.info/forums/discuss/armpit-pain-and-lump-in-breast-495769
"BC Chemo - Mouth Sores, any suggestions?",https://patient.info/forums/discuss/bc-chemo-mouth-sores-any-suggestions--508627
mammogram results,https://patient.info/forums/discuss/mammogram-results-450345
vibration in left breast,https://patient.info/forums/discuss/vibration-in-left-breast-649270
inverted nipple & crazy dreams,https://patient.info/forums/discuss/inverted-nipple-crazy-dreams-523424
How can make boobs bigger naturally?,https://patient.info/forums/discuss/how-can-make-boobs-bigger-naturally--522534
Scared! Lots came back from testing.,https://patient.info/forums/discuss/scared-lots-came-back-from-testing--497704
Advice please,https://patient.info/forums/discuss/advice-please-528158
Fibromatosis of the breast,https://patient.info/forums/discuss/fibromatosis-of-the-breast-284548
Had three scans on both breasts at my regular screening,https://patient.info/forums/discuss/had-three-scans-on-both-breasts-at-my-regular-screening-619059
Worried about inflammatory breast cancer,https://patient.info/forums/discuss/worried-about-inflammatory-breast-cancer-700503
Preventative Tamoxifen,https://patient.info/forums/discuss/preventative-tamoxifen-670658
Recurrence,https://patient.info/forums/discuss/recurrence-667047
Anyone got diagnosed with stage 2 lobular carcinoma of breast oestrogen positive,https://patient.info/forums/discuss/anyone-got-diagnosed-with-stage-2-lobular-carcinoma-of-breast-oestrogen-positive-606995
Lymph nodes/breast lumps,https://patient.info/forums/discuss/lymph-nodes-breast-lumps-563171
Mammogram results - time to get,https://patient.info/forums/discuss/mammogram-results-time-to-get-312480
"Please help , I’m so scared",https://patient.info/forums/discuss/please-help-i-m-so-scared-635061
First ever mammogram tomorrow terrified of it,https://patient.info/forums/discuss/first-ever-mammogram-tomorrow-terrified-of-it-300578
Painful Symmetrising Surgery,https://patient.info/forums/discuss/painful-symmetrising-surgery-542428
Breast screening recall,https://patient.info/forums/discuss/breast-screening-recall-543076
"lump on bra line, Dr dismissed it, extremely worried and need advice.",https://patient.info/forums/discuss/lump-on-bra-line-dr-dismissed-it-extremely-worried-and-need-advice--477182
breast sore lumpy and different?,https://patient.info/forums/discuss/breast-sore-lumpy-and-different--362316
What is this rash under my armpit? Could it be breast cancer? I'm 19?,https://patient.info/forums/discuss/what-is-this-rash-under-my-armpit-could-it-be-breast-cancer-i-m-19--466452
Breast Cancer and MRI scans,https://patient.info/forums/discuss/breast-cancer-and-mri-scans-19898
arimidex,https://patient.info/forums/discuss/arimidex-29947
Had an ultrasound and terrible follow up has me concerned,https://patient.info/forums/discuss/had-an-ultrasound-and-terrible-follow-up-has-me-concerned-657200
